Geo_Name,state_code,survey_year,Tax_Type,item,AMOUNT
United States,0,2018,Total Taxes,T00,"1,031,001,198"
United States,0,2018,Property Taxes,T01,"20,079,471"
United States,0,2018,Sales and Gross Receipts Taxes,TA1,"482,392,691"
United States,0,2018,General Sales and Gross Receipts Taxes,T09,"317,422,936"
United States,0,2018,Selective Sales and Gross Receipts Taxes,TA2,"164,969,755"
United States,0,2018,Alcoholic Beverages Sales Tax,T10,"6,795,036"
United States,0,2018,Amusements Sales Tax,T11,"8,151,881"
United States,0,2018,Insurance Premiums Sales Tax,T12,"22,457,399"
United States,0,2018,Motor Fuels Sales Tax,T13,"48,262,883"
United States,0,2018,Pari-mutuels Sales Tax,T14,"125,587"
United States,0,2018,Public Utilities Sales Tax,T15,"12,549,600"
United States,0,2018,Tobacco Products Sales Tax,T16,"19,502,424"
United States,0,2018,Other Selective Sales and Gross Receipts Taxes,T19,"47,124,945"
United States,0,2018,License Taxes,TA3,"57,374,671"
United States,0,2018,Alcoholic Beverages License,T20,"715,922"
United States,0,2018,Amusements License,T21,"751,073"
United States,0,2018,Corporations in General License,T22,"6,031,028"
United States,0,2018,Hunting and Fishing License,T23,"1,621,777"
United States,0,2018,Motor Vehicle License,T24,"27,900,715"
United States,0,2018,Motor Vehicle Operators License,T25,"2,674,775"
United States,0,2018,Public Utilities License,T27,"1,325,392"
United States,0,2018,"Occupation and Business License, NEC",T28,"14,834,339"
United States,0,2018,Other License Taxes,T29,"1,519,650"
United States,0,2018,Income Taxes,TA4,"440,292,334"
United States,0,2018,Individual Income Taxes,T40,"392,069,791"
United States,0,2018,Corporations Net Income Taxes,T41,"48,222,543"
United States,0,2018,Other Taxes,TA5,"30,862,031"
United States,0,2018,Death and Gift Taxes,T50,"5,072,040"
United States,0,2018,Documentarty and Stock Transfer Taxes,T51,"10,156,623"
United States,0,2018,Severance Taxes,T53,"12,625,265"
United States,0,2018,"Taxes, NEC",T99,"3,008,103"
Alabama,01,2018,Total Taxes,T00,"11,055,577"
Alabama,01,2018,Property Taxes,T01,"406,288"
Alabama,01,2018,Sales and Gross Receipts Taxes,TA1,"5,534,807"
Alabama,01,2018,General Sales and Gross Receipts Taxes,T09,"2,786,833"
Alabama,01,2018,Selective Sales and Gross Receipts Taxes,TA2,"2,747,974"
Alabama,01,2018,Alcoholic Beverages Sales Tax,T10,"214,615"
Alabama,01,2018,Amusements Sales Tax,T11,0
Alabama,01,2018,Insurance Premiums Sales Tax,T12,"376,766"
Alabama,01,2018,Motor Fuels Sales Tax,T13,"648,639"
Alabama,01,2018,Pari-mutuels Sales Tax,T14,"1,146"
Alabama,01,2018,Public Utilities Sales Tax,T15,"747,657"
Alabama,01,2018,Tobacco Products Sales Tax,T16,"179,929"
Alabama,01,2018,Other Selective Sales and Gross Receipts Taxes,T19,"579,222"
Alabama,01,2018,License Taxes,TA3,"521,990"
Alabama,01,2018,Alcoholic Beverages License,T20,"4,032"
Alabama,01,2018,Amusements License,T21,X
Alabama,01,2018,Corporations in General License,T22,"152,538"
Alabama,01,2018,Hunting and Fishing License,T23,"21,451"
Alabama,01,2018,Motor Vehicle License,T24,"220,483"
Alabama,01,2018,Motor Vehicle Operators License,T25,"33,425"
Alabama,01,2018,Public Utilities License,T27,"14,146"
Alabama,01,2018,"Occupation and Business License, NEC",T28,"75,914"
Alabama,01,2018,Other License Taxes,T29,1
Alabama,01,2018,Income Taxes,TA4,"4,490,316"
Alabama,01,2018,Individual Income Taxes,T40,"3,912,800"
Alabama,01,2018,Corporations Net Income Taxes,T41,"577,516"
Alabama,01,2018,Other Taxes,TA5,"102,176"
Alabama,01,2018,Death and Gift Taxes,T50,X
Alabama,01,2018,Documentarty and Stock Transfer Taxes,T51,"46,014"
