fiscal_year,fund,function,department,division,account_type,category,original_budget,revised_budget,ytd_actual
2016,GENERAL FUND,GENERAL GOVERNMENT,COMM & PUBLIC AFFAIRS,,EXPENSE,PERSONNEL,660180.0,638380.0,566427.92
2016,GENERAL FUND,GENERAL GOVERNMENT,BUSINESS MANAGEMENT,,EXPENSE,OPERATIONS,533426.0,583161.0,547484.67
2016,GENERAL FUND,GENERAL GOVERNMENT,COUNCIL,,EXPENSE,NON-DEPARTMENTAL,9412.0,9412.0,0.0
2016,GENERAL FUND,GENERAL GOVERNMENT,MAYOR,,EXPENSE,OPERATIONS,22409.0,18426.0,16531.16
2016,GENERAL FUND,,,,REVENUE,CHARGES FOR SERVICES,3211351.0,3223351.0,2837311.56
2016,GENERAL FUND,,,,REVENUE,LICENSES & PERMITS,3217651.0,3253723.0,2690712.51
2016,GENERAL FUND,ENVIRONMENT & DEVELOPMENT,PLANNING & SUSTAINABILITY,PLANNING & SUSTAINABILITY,EXPENSE,PERSONNEL,1406088.0,1395695.0,1405648.5
2016,GENERAL FUND,ENVIRONMENT & DEVELOPMENT,PUBLIC WORKS,PW ADMIN,EXPENSE,OPERATIONS,116075.0,112645.0,106048.43
2016,GENERAL FUND,ENVIRONMENT & DEVELOPMENT,PUBLIC WORKS,PW STREETS,EXPENSE,CAPITAL,25000.0,66840.0,66840.0
2016,GENERAL FUND,PUBLIC SAFETY,POLICE,POLICE SPECIAL EVENTS,EXPENSE,OPERATIONS,155900.0,224900.0,209007.9
2016,GENERAL FUND,LEISURE,PARKS & RECREATION,P&R ADMIN,EXPENSE,OPERATIONS,212489.0,244121.0,207796.96
2016,GENERAL FUND,PUBLIC SAFETY,FIRE,FIRE ADMIN,EXPENSE,PERSONNEL,448029.0,416204.0,367919.34
2016,GRANTS FUND,ENVIRONMENT & DEVELOPMENT,PLANNING & SUSTAINABILITY,,REVENUE,INTERGOV'T - FEDERAL,204088.0,309688.0,229084.89
2016,GRANTS FUND,ENVIRONMENT & DEVELOPMENT,PLANNING & SUSTAINABILITY,,EXPENSE,OPERATIONS,31365.0,165365.0,95324.26
2016,GENERAL FUND,ENVIRONMENT & DEVELOPMENT,HOUSING & COMMUNITY,,EXPENSE,PERSONNEL,529841.0,517076.0,455124.24
2016,GENERAL FUND,LEISURE,LIBRARY,,EXPENSE,OPERATIONS,649409.0,756432.0,749665.69
2016,GRANTS FUND,ENVIRONMENT & DEVELOPMENT,PLANNING & SUSTAINABILITY,,REVENUE,OTHER SOURCES FUNDS,72048.0,72048.0,59929.13
2016,DOWNTOWN SERVICE DISTRICT,ENVIRONMENT & DEVELOPMENT,MANAGER,,REVENUE,PROPERTY TAXES,272000.0,272000.0,287938.88
2016,TRANSIT CAPITAL RESERVE FUND,TRANSIT,TRANSIT,,EXPENSE,OTHER USES OF FUNDS,198339.0,549321.0,39175.07
2016,CAPITAL IMPROVEMENTS FUND,CAPITAL,PUBLIC HOUSING,,EXPENSE,OPERATIONS,14856.0,62485.0,7894.74
2016,CAPITAL IMPROVEMENTS FUND,CAPITAL,PUBLIC WORKS,,EXPENSE,CAPITAL,80000.0,800000.0,118778.05
2016,GRANTS FUND,PUBLIC SAFETY,POLICE,,REVENUE,INTERGOV'T - STATE,0.0,8156.0,0.0
2016,CAPITAL IMPROVEMENTS FUND,CAPITAL,FIRE,,EXPENSE,CAPITAL,0.0,1137093.0,636424.0
2016,CAPITAL IMPROVEMENTS FUND,CAPITAL,,,REVENUE,OTHER SOURCES FUNDS,778000.0,7886213.0,3920503.0
2016,DEBT SERVICE FUND,DEBT SERVICE,,,REVENUE,INTERGOV'T - FEDERAL,169200.0,169200.0,169640.07
2016,DEBT SERVICE FUND,DEBT SERVICE,,,EXPENSE,OTHER USES OF FUNDS,1188389.0,1188389.0,0.0
2016,ON-STREET PARKING FUND,PARKING,PARKING,ON-STREET PARKING EXPENSES,REVENUE,CHARGES FOR SERVICES,17200.0,17200.0,29881.2
2016,ON-STREET PARKING FUND,PARKING,PARKING,ON-STREET PARKING EXPENSES,EXPENSE,INDIRECT COSTS,32589.0,32589.0,35141.0
